Index, Regression,sub-phenotype N,MeanX,moeX,MeanY,moeY,Slope,R^2,p-value
41,LnCac0 vs. Ln(Cac0/Tcpv1),Qangio 10,0.831,0.138,3.767,0.627,4.4653,0.967,0.001237
42,LnCac1 vs. Ln(Tps0/DPav),Qangio 10,3.555,0.591,3.944,0.623,1.0370,0.966,0.001411
43,LnCac0 vs. Ln(Cac0/Tps0),Qangio 10,2.570,0.434,3.767,0.627,1.4213,0.966,0.001448
44,LnCac0 vs. Ln(Cac1/Tps1),Qangio 10,2.597,0.428,3.767,0.627,1.4399,0.966,0.001472
45,LnCac1 vs. Ln(Cac0/Tps1),Qangio 10,2.463,0.418,3.944,0.623,1.4641,0.965,0.001484
46,Cac0 vs. Cac1/DPav,Qangio 10,5918.184,1550.306,170.100,39.641,0.0251,0.965,0.001551
47,LnQangio1 vs. Ln(Qangio1/DPav),Qangio 10,7.728,0.252,4.450,0.229,0.8923,0.965,0.001566
48,LnCac0 vs. Ln(Tps0/Tps1),Qangio 10,0.435,0.073,3.767,0.627,8.4012,0.965,0.001568
49,LnCac0 vs. Cac1/Tcpv0,Qangio 10,2.220,0.368,3.767,0.627,1.6757,0.965,0.001568
50,LnCac1 vs. Cac1/Tcpv0,Qangio 10,2.220,0.368,3.944,0.623,1.6643,0.965,0.001592
